__label__recommendations	That group should drop out 
__label__recommendations	May I suggest to have hangouts and coffee?
__label__subject	 Some people say that the review process does not work
__label__performance_assessment	 the training was not credible
__label__performance_assessment	I wanted to let you know how much I appreciated your help with the project.
__label__subject	A very good topic.
__label__performance_assessment	"A new meeting without results and focused on ""technical aspects""."
__label__technical	No one has such old machines to practice.
__label__recommendations	Good conclusions are always important
__label__recommendations	We all hope that the quality of information improves
__label__subject	 I hold the view that the remarks presented during the speech were unfortunate
__label__performance_assessment	I'm really impressed.
__label__performance_assessment	I didn't fall asleep but I was close to it.
__label__recommendations	Next time please have better reasons
__label__recommendations	I would love to see a new face during those meetings.
__label__performance_assessment	We were intrigued. 
__label__performance_assessment	Do you think it was nice to listen to all this negative stuff?
__label__subject	Do you think you’ll convince people simply by repeating your version?
__label__technical	Could someone fix the microphone?
__label__performance_assessment	 I’m of the opinion that the meeting was not interesting
__label__subject	I am not happy with this solution, even if this problem was solved perfectly, it doesn't really end ignorance.
__label__performance_assessment	There was no harmony in this meeting.
__label__performance_assessment	I think he is an unfortunate person
__label__performance_assessment	Hopefully, this was his one and only session with drinking too much.
__label__recommendations	I think that we need some more fire training.
__label__recommendations	There should be no selective reduction.
__label__subject	Considering the problems they presented, she could hardly blame him for that.
__label__subject	I share your point of view.
__label__recommendations	The mentioned institutions should give more advice.
__label__time	60 minutes was way too much for this subject.
__label__recommendations	Maybe suggest us to take notes next time?
__label__performance_assessment	I wish I didn’t go to this meeting
__label__performance_assessment	Why did you rush with the presentation?
__label__performance_assessment	I feel the training was great
__label__technical	All the cables lying around the room are dangerous.
__label__recommendations	Why don’t you do some deeper research in the topic?
__label__time	It's a pity that there was no time for comments from the quests.
__label__performance_assessment	I understand that this is the way you do things. 
__label__time	Punctuality of the members is fundamental
__label__performance_assessment	The presenter did nothing as planned.
__label__time	I appreciate you started on time.
__label__performance_assessment	It is useful to have someone who has had experience with similar problems in previous projects to talk to.
__label__performance_assessment	In this meeting, I learned more than in the previous 10
__label__subject	I didn't learn anything new.
__label__recommendations	I think there are many things to change.
__label__subject	 I believe the plan is not negative
__label__performance_assessment	The atmosphere of the meeting was warm.
__label__subject	Thank you very much for meeting with me yesterday regarding my current project.
__label__subject	The proposed frequency is to high, it will cause trouble.
__label__performance_assessment	The guy that organized it should get fired at once!
__label__time	The main presenter had a short time presentation
__label__performance_assessment	So many hours without a break?
__label__technical	It is really hard to focus with such noise outside the room.
__label__recommendations	We should encourage more behavior like this.
__label__subject	There should be a leader who has enough sensitivity to identify how he can empower each component of his team.
__label__performance_assessment	She likes depressing stories
__label__performance_assessment	One of the guys stood up and started shouting and nobody cared.
__label__performance_assessment	The attention he garnered amazed him.
__label__time	A pity not everyone knows how to be as punctual as you are!
__label__performance_assessment	Your hesitation influenced the audience.
__label__technical	The remote control to the air conditioner is still missing.
__label__performance_assessment	The speaker was great as always.
__label__time	I think that five minutes for every opinion is enough.
__label__recommendations	There should be a leader, someone who would give a right direction to all those discussions.
__label__recommendations	I would suggest thinking about better coffee during breaks.
__label__time	I was a little late and I wasn't allowed to join the meeting.
__label__recommendations	I would contend that the size of this problem is substantially smaller than many people would guess.
__label__performance_assessment	At the time of that meeting it didn’t produce an effect upon me
__label__performance_assessment	Thanks to that meetings I'm in better mood.
__label__time	Starting and finishing on time was appreciated.
__label__performance_assessment	Too many abbreviations.
__label__technical	Finally somebody fixed the air conditioning.
__label__technical	The microphone was not working well
__label__recommendations	Some of the participants should get a reprimand.
__label__subject	 I guess frequent talking with people about such issues is working
__label__performance_assessment	I think the commander was depressing
__label__subject	This, according to general Franco, would be inconvenient.
__label__performance_assessment	It is a great experience
__label__performance_assessment	Well organized.
__label__performance_assessment	The presenter did not review well the points that he was going to deal with
__label__recommendations	Could you please recommend how to solve this problem during your next speech?
__label__recommendations	I recommend that the objectives of the meetings be defined based on the results of the metrics
__label__subject	The presented idea may be eligible for the “idea of the month” award
__label__recommendations	He needs to take out that phrase
__label__performance_assessment	I don't know what to say.
__label__subject	In that way, we would never get the subject exhausted!
__label__subject	And to this day, millions of people remember and honor the name of Gautama, as that of the great lover of men.
__label__time	You started right on time which is appreciated.
__label__performance_assessment	Good job!
__label__performance_assessment	Im definitely not the only one who thinks  the speaker was not fierce
__label__technical	The air conditioner didn't work.
__label__performance_assessment	I don't like you to talk like that.
__label__subject	The problem is we talk to little about this.
__label__subject	 Generally it is thought that soldiers are nervous
__label__performance_assessment	Because the boredom of the lecture made me drowsy
__label__recommendations	We don't need so many breaks.
__label__subject	It was the highest time to discuss this topic.
__label__performance_assessment	The speaker was a noisy guy.
__label__performance_assessment	I didn’t like your presentation.
__label__time	The meeting was extended leaving us with little time for the most important part
__label__performance_assessment	There's no time for such things.
__label__performance_assessment	I think that listening to everyone’s complains for so many hour is a waste of time.
__label__performance_assessment	After this meeting everyone had good mood!
__label__subject	In my opinion you are right.
__label__subject	AWS should not play any part in the decision making process.
__label__technical	This meeting without access to WIFI was a mistake.
__label__technical	I'm still not on the mailing list.
__label__performance_assessment	After those meetings I always have so many new ideas.
__label__performance_assessment	It was an interesting conversation
__label__performance_assessment	He is doing an interesting talk
__label__subject	Suddenly there was a great news
__label__performance_assessment	I wonder how long did you prepare for this presentation?
__label__subject	Today's topic is better than that of the previous meeting
__label__performance_assessment	 From my perspective the competition was excellent
__label__recommendations	we do not agree with that recommendation
__label__performance_assessment	She is very attentive to detail
__label__subject	It sounds like a real adventure!
__label__subject	On one hand I understand your point, on the other hand I disagree
__label__performance_assessment	 Some people say that the meeting wasn’t boring
__label__subject	One cause for the excellence of her letters is the great number of them.
__label__recommendations	It should be ready now, not in 2 months!
__label__time	I love her punctuality
__label__recommendations	You should do something about the problem.
__label__recommendations	What if next time we could just invite the important people?
__label__recommendations	Instead of getting angry, be practical.
__label__recommendations	For an order to be certainly executed, it is necessary that a man should order what can be executed.
__label__recommendations	One of the participants must be publicly responsible for recording in writing what was agreed at the meeting.
__label__technical	No time to pee during breaks.
__label__time	For the next meeting we hope to start and end the meeting at the planned hours
__label__subject	Dean presented the facts unemotionally but as soon as he mentioned Scranton, the old man caught the coincidence and could hardly contain himself.
__label__recommendations	He should not listen to anyone who tried to persuade him to stay, he had his orders.
__label__recommendations	I hope someone is responsible for writing an email that recapitulates everything, orders ideas and prevents possible errors or confusion
__label__performance_assessment	 From my perspective the talk was not awful
__label__recommendations	The minutes should include the issues addressed in it, the pending tasks, who should perform them and for when.
__label__recommendations	We need more fun.
__label__performance_assessment	I think that the microphone should be given to those who have something interesting to say.
__label__performance_assessment	The idea of meetings is good.
__label__performance_assessment	The speaker got me really bored.
__label__subject	If this is what the Navy thinks i’m terrified.
__label__recommendations	Please make things more readable on you slides next time!
__label__performance_assessment	Thanks for your time
__label__performance_assessment	From my experience, I know that half of the meetings are considered unproductive by their attendees.
__label__recommendations	I think that we should get access to the address book with contacts to other participants.
__label__time	It was too short.
__label__time	Unfortunately the speaker did not have time to close the idea
__label__time	In my opinion five minutes is too short.
__label__recommendations	For next time go to the point and do not get off the subject.
__label__recommendations	She should discuss all this with Alex.
__label__performance_assessment	It was boring.
__label__subject	A young and innovative thinking according to the trend of your market.
__label__performance_assessment	I think that sticking to the schedule is not so important as answering all the questions.
__label__performance_assessment	 It goes without saying that the training was working
__label__recommendations	We should have some impact on the results.
__label__recommendations	They should carry out more activities for public participation
__label__subject	It would be continual mistake to pursue this line
__label__subject	Reading and answering emails breaks the work dynamics a lot
__label__performance_assessment	I would never use such words as the guy did.
__label__recommendations	Wider room for us all.
__label__subject	Addresses were presented to him at Southampton, Birmingham and other towns
__label__performance_assessment	A solemn meeting 
__label__subject	It’s essential we are prepared.
__label__technical	Finally it wasn't so hot in the place.
__label__performance_assessment	An excellent idea that the people involved are summoned in advance and have sufficient information on the topics to treat
__label__performance_assessment	I couldn’t stop looking at the clock, I wanted to get out so quickly!
__label__performance_assessment	I don't find pleasure in wasting time.
__label__subject	How can we improve our execution?
__label__subject	The truth is they were engaged in combat and couldn’t do anything about it
__label__recommendations	I would change everything.
__label__recommendations	Please do not look at the cell phone while others speak.
__label__performance_assessment	It was a pleasure to take part in such event.
__label__recommendations	I recommend having a better dress by the exhibitors.
__label__subject	Why should that cause the masses to riot?
__label__performance_assessment	I didn't realize that we are in such situation.
__label__performance_assessment	Not enough team working.
__label__performance_assessment	I was better today than it was during previous sessions.
__label__subject	The meeting was full of topics that were simply not interesting
__label__time	I was on time and there was nobody in the room.
__label__subject	There are members who answer emails, consult social networks or other tasks not related to the theme of the meeting
__label__technical	The presenter achieved each and every one of his goals
__label__performance_assessment	After those meetings I always have a headache.
__label__subject	What are the consequences of having such diversity in a work group?
__label__recommendations	Focusing on what is going well can help you discover ways to solve other situations
__label__performance_assessment	We all started arguing and nobody reacted and took care of the situation.
__label__performance_assessment	He is an interesting man
__label__subject	We should ask him what he meant
__label__performance_assessment	You get to meet all kinds of interesting people in that meeting
__label__recommendations	If you focus on the main subject, you’ll get more attention.
__label__subject	The topics don’t vary enough.
__label__time	He is always late.
__label__performance_assessment	Great figures and tables!
__label__subject	The  reward, when it was available, certainly presented a temptation.
__label__recommendations	I think that changing the speaker would help.
__label__recommendations	I hope that sb would organize some sort of entertainment,
__label__performance_assessment	I would never excuse such behavior.
__label__technical	The meeting was very crowded, some people even had to stand.
__label__subject	They admired the idea very much, for they had never seen anything like it.
__label__time	Timely starting your meetings would be much appreciated.
__label__performance_assessment	If all attendees are clear about the objectives and topics to be discussed, the meeting will be better
__label__subject	The presenter was not serious in the assessments he made
__label__performance_assessment	 From my perspective the commander not was good
__label__time	Every single part started late than it was scheduled.
__label__technical	The room was in a mass as always.
__label__performance_assessment	Amazing how easy it was for you to carry out an interesting meeting.
__label__performance_assessment	Sorry, but you really could do better :(
__label__performance_assessment	It is hard to expect anyone to keep focused after a whole hour of densely-packed presentation.
__label__subject	My impression was that you didn’t want to tell us the whole story.
__label__recommendations	I think we should find a new way of discussing our stuff.
__label__time	Many ideas for so little time
__label__subject	I don’t know if the topic was good or bad as for now.
__label__recommendations	Somebody should lock the door after the beginning.
__label__time	Was the meeting supposed to begin at 12?
__label__recommendations	We should think about some new topic, more up to date.
__label__technical	I couldn’t hear in the back of the room
__label__subject	It is important to understand more effectively the actions or circumstances that affect the work team.
__label__technical	The chairs are very uncomfortable.
__label__performance_assessment	One of the participants was drunk and nobody reacted to his behavior.
__label__performance_assessment	Too long breaks.
__label__subject	It was really upsetting to hear their story.
__label__performance_assessment	And again no results.
__label__performance_assessment	I finally understood what you mean in the very last minutes of your speech.
__label__subject	We need charismatic leaders in such situations
__label__subject	I don’t think we should change our organization units on these occasions.
