__label__time	After a few minutes of looking for his file, he finally started
__label__technical	I didn't hear most important things because of the microphone.
__label__time	Every single part started late than it was scheduled.
__label__recommendations	You should do something about the problem.
__label__performance_assessment	We are always arguing during those meetings and nobody reacts.
__label__performance_assessment	I hoped to get some more details, e-mail address or anything, from the speaker.
__label__technical	In another room it was extremely noisy and nobody reacted.
__label__subject	I would like to discuss ways to facilitate it.
__label__subject	 In my view the commander is calm 
__label__recommendations	Next time, a larger showroom would be much better.
__label__technical	The speakers were broke.
__label__recommendations	Please send a list of topics to cover 24 hours in advance.
__label__performance_assessment	 In my view the plan was calm 
__label__performance_assessment	I was horrified.
__label__time	Can I ask you to finish your talk on time?
__label__time	The meeting started way too late.
__label__performance_assessment	The way of presentation was ridiculous.
__label__performance_assessment	 It seemed like the commander was hungry
__label__recommendations	I hope you have better tests for the next meeting
__label__recommendations	If I had remembered this it would have prevented some mistakes
__label__performance_assessment	Let's talk about what is working.
__label__subject	Every dead soldier has a face, a story, and a bereaved family
__label__performance_assessment	Do you behave like this on all meetings?
__label__subject	I will make sure to send you a follow-up when this project is completed.
__label__subject	The commander expressed enthusiasm towards new goals
__label__performance_assessment	I don't believe that it will change anything.
__label__subject	I never thought about this aspect.
__label__recommendations	For next time go to the point and do not get off the subject.
__label__subject	I find those subjects not practical.
__label__subject	Today's topic is better than that of the previous meeting
__label__technical	The work implements were a great help, they make everything easier.
__label__performance_assessment	I wish I didn’t go to this meeting
__label__subject	Working as a team is the key for every company to develop, grow and not be affected by the high competition that exists today
__label__subject	I also have something to say in today’s topic.
__label__performance_assessment	Jhon appeared not the worse for the session, but he seemed ready for a nap.
__label__performance_assessment	Too short breaks.
__label__performance_assessment	Excellent meeting a time well spent
__label__subject	Our main case wasn't discussed at all.
__label__performance_assessment	After your speech we had to go for a beer.
__label__performance_assessment	And again no results.
__label__recommendations	It is not wrong to remember the names of the people and the reasons why they participate in the meeting.
__label__performance_assessment	I must say this was amazing!
__label__subject	I think the real problem is elsewhere.
__label__performance_assessment	We didn’t understand.
__label__performance_assessment	Thank you very much for such a nice meeting
__label__subject	I am not happy with this solution, even if this problem was solved perfectly, it doesn't really end ignorance.
__label__performance_assessment	!!! This was horrible!
__label__performance_assessment	The objectives of the presentation were achieved, they are experts in the field.
__label__recommendations	You are a bit nervous, try to calm down, remember you are speaking to your friends
__label__subject	This is a cyclic meeting and I would expect fresh updates every time and what do I get?
__label__performance_assessment	 From my perspective the competition was excellent
__label__performance_assessment	The presentation was very subjective and emotional.
__label__performance_assessment	Noisy guy.
__label__performance_assessment	That afternoon Christopher had a wonderful story to tell.
__label__recommendations	Next time please have better reasons
__label__recommendations	I’d pay more attention to details.
__label__recommendations	They should carry out more activities for public participation
__label__performance_assessment	I really appreciate your help.
__label__performance_assessment	I don't know what to say.
__label__recommendations	My colleagues would prefer you talk a little slower.
__label__recommendations	Before the meeting, the presenter should check that his objectives are clear and justify his need
__label__performance_assessment	Congratulations.
__label__performance_assessment	 The talk was amazing
__label__performance_assessment	The way that major was presenting guests was strongly inappropriate.
__label__subject	The major shares information with peers and supervisors
__label__performance_assessment	 Generally it is thought that the topic is not interesting
__label__recommendations	I'll suggest more time for answering questions.
__label__time	The times coincided perfectly between each exhibition
__label__performance_assessment	 I’m of the opinion that the talk was not boring
__label__subject	My guess it’s because we’re there for a long time already.
__label__technical	The room is too small.
__label__subject	The whole idea makes me feel sick!
__label__subject	My daily duties would become much more tiring after this change.
__label__subject	Writing an act helps to remember.
__label__recommendations	We should have some impact on the results.
__label__performance_assessment	With all due respect, this was horrible.
__label__recommendations	I recommend carrying out activities that encourage everyone's collaboration and participation to achieve the defined objective.
__label__subject	Do you think you’ll convince people simply by repeating your version?
__label__subject	There should be a leader who has enough sensitivity to identify how he can empower each component of his team.
__label__subject	A leader is someone who knows the way, walks the way and shows the way. 
__label__performance_assessment	He stood a little behind the governor and held himself with military decorum
__label__time	I appreciate you started on time.
__label__time	He is always late.
__label__subject	The more I think about what you’ve said the more I feel intrigued.
__label__recommendations	Everyone should be involved.
__label__performance_assessment	A solemn meeting 
__label__recommendations	Maybe he should see a doctor.
__label__subject	They admired the idea very much, for they had never seen anything like it.
__label__performance_assessment	You're a very interesting person
__label__technical	The pens did not have enough ink
__label__recommendations	Good conclusions are always important
__label__time	Not all attendees arrived on time
__label__subject	 In my opinion the commander is good
__label__subject	I can show you where that information stands out in the report and in the progress notes.
__label__recommendations	If I were you, I would do more slides with better figures
__label__time	It's not the first time that the organizer was late.
__label__time	60 minutes was way too much for this subject.
__label__performance_assessment	I didn't realize that our meetings can solve so many problems.
__label__subject	Was this really about operations?
__label__subject	I thought that we would discuss this topic and vote, but it didn't happen.
__label__technical	The video beam was damaged.
__label__recommendations	Apply the review in the fastest way right after finishing the activities to analyze.
__label__performance_assessment	She had a suspicious behavior
__label__subject	I hope we have more participation in choosing the topic of the next meeting
__label__recommendations	We need someone to write down all the suggestions raised durin the session.
__label__performance_assessment	I didn't fall asleep but I was close to it.
__label__subject	I’m not sure if you give rewards for such small efforts will it bring any good?
__label__recommendations	I think that someone should take the responsibility for that accident that happened during our last meeting.
__label__subject	 In my eyes the commander is not working
__label__performance_assessment	No words to describe my disapproval to what I saw.
__label__recommendations	If you focus on the main subject, you’ll get more attention.
__label__performance_assessment	It was boring.
__label__time	20 minutes late is too late.
__label__time	Meeting earlier would be better.
__label__performance_assessment	The man spoke in a quiet, but nervous voice.
__label__recommendations	If I were you I would let them ask questions any time.
__label__performance_assessment	We would never achieve anything with such speakers.
__label__technical	It is a very small space for those meetings with so many people.
__label__subject	The topics are very relevant to the problem in question.
