__label__neutral	That group should drop out 
__label__neutral	May I suggest to have hangouts and coffee?
__label__negative	 Some people say that the review process does not work
__label__negative	 the training was not credible
__label__positive	I wanted to let you know how much I appreciated your help with the project.
__label__positive	A very good topic.
__label__negative	"A new meeting without results and focused on ""technical aspects""."
__label__negative	No one has such old machines to practice.
__label__positive	Good conclusions are always important
__label__neutral	We all hope that the quality of information improves
__label__negative	 I hold the view that the remarks presented during the speech were unfortunate
__label__positive	I'm really impressed.
__label__negative	I didn't fall asleep but I was close to it.
__label__neutral	Next time please have better reasons
__label__neutral	I would love to see a new face during those meetings.
__label__neutral	We were intrigued. 
__label__negative	Do you think it was nice to listen to all this negative stuff?
__label__negative	Do you think you’ll convince people simply by repeating your version?
__label__negative	Could someone fix the microphone?
__label__negative	 I’m of the opinion that the meeting was not interesting
__label__negative	I am not happy with this solution, even if this problem was solved perfectly, it doesn't really end ignorance.
__label__negative	There was no harmony in this meeting.
__label__negative	I think he is an unfortunate person
__label__negative	Hopefully, this was his one and only session with drinking too much.
__label__neutral	I think that we need some more fire training.
__label__neutral	There should be no selective reduction.
__label__negative	Considering the problems they presented, she could hardly blame him for that.
__label__neutral	I share your point of view.
__label__neutral	The mentioned institutions should give more advice.
__label__negative	60 minutes was way too much for this subject.
__label__neutral	Maybe suggest us to take notes next time?
__label__negative	I wish I didn’t go to this meeting
__label__negative	Why did you rush with the presentation?
__label__positive	I feel the training was great
__label__negative	All the cables lying around the room are dangerous.
__label__negative	Why don’t you do some deeper research in the topic?
__label__negative	It's a pity that there was no time for comments from the quests.
__label__neutral	I understand that this is the way you do things. 
__label__neutral	Punctuality of the members is fundamental
__label__negative	The presenter did nothing as planned.
__label__positive	I appreciate you started on time.
__label__neutral	It is useful to have someone who has had experience with similar problems in previous projects to talk to.
__label__positive	In this meeting, I learned more than in the previous 10
__label__negative	I didn't learn anything new.
__label__neutral	I think there are many things to change.
__label__positive	 I believe the plan is not negative
__label__positive	The atmosphere of the meeting was warm.
__label__positive	Thank you very much for meeting with me yesterday regarding my current project.
__label__negative	The proposed frequency is to high, it will cause trouble.
__label__negative	The guy that organized it should get fired at once!
__label__negative	The main presenter had a short time presentation
__label__negative	So many hours without a break?
__label__negative	It is really hard to focus with such noise outside the room.
__label__neutral	We should encourage more behavior like this.
__label__neutral	There should be a leader who has enough sensitivity to identify how he can empower each component of his team.
__label__negative	She likes depressing stories
__label__negative	One of the guys stood up and started shouting and nobody cared.
__label__positive	The attention he garnered amazed him.
__label__positive	A pity not everyone knows how to be as punctual as you are!
__label__negative	Your hesitation influenced the audience.
__label__negative	The remote control to the air conditioner is still missing.
__label__positive	The speaker was great as always.
__label__neutral	I think that five minutes for every opinion is enough.
__label__neutral	There should be a leader, someone who would give a right direction to all those discussions.
__label__neutral	I would suggest thinking about better coffee during breaks.
__label__neutral	I was a little late and I wasn't allowed to join the meeting.
__label__positive	I would contend that the size of this problem is substantially smaller than many people would guess.
__label__negative	At the time of that meeting it didn’t produce an effect upon me
__label__positive	Thanks to that meetings I'm in better mood.
__label__positive	Starting and finishing on time was appreciated.
__label__negative	Too many abbreviations.
