__label__HUM	Name Dick Tracy 's two children .
__label__LOC	What country has the port of Haifa ?
__label__DESC	What is the biblical meaning of ` stones ' ?
__label__NUM	What was the date of CNN 's first broadcast ?
__label__HUM	What two baseball players make up the battery ?
__label__HUM	Who were the Picts ?
__label__DESC	What does Melissa mean ?
__label__ENTY	What is a fear of insanity ?
__label__ENTY	What movie did Steven Spielberg direct in 1975 ?
__label__ENTY	What are super balls made of ?
__label__HUM	What famous New York City mayor wrote the hit song , `` Will You Love Me in December as You Do in May ? ''
__label__DESC	What is magnetar ?
__label__NUM	How many gallons of water go over Niagra Falls every second ?
__label__LOC	Where must a soccer goalie stand to be permitted to handle the ball ?
__label__HUM	Who was the actor who played Sam in the movie Casablanca ?
__label__LOC	Where is the actress , Marion Davies , buried ?
__label__ABBR	What does HIV stand for ?
__label__ENTY	What sign is The Water Carrier the zodiacal symbol for ?
__label__HUM	What well-known actor is the father of star Alan Alda ?
__label__DESC	What is e-commerce ?
__label__NUM	How many times can a nickel-cadmium rechargeable battery be recharged ?
__label__HUM	Who is the Pope ?
__label__DESC	What is Archimedes famous for ?
__label__DESC	What caused Shea & Gould to close their L.A. office ?
__label__ENTY	What program do I need to run a .tbk file ?
__label__NUM	In which year was the cartoon character Chilly Willy created ?
__label__ENTY	What playing card symbolizes death ?
__label__DESC	What is a handheld PC ?
__label__LOC	What is California 's capital ?
__label__LOC	What capital is built around Monument Circle which contains soldiers and sailors monument ?
__label__HUM	Who said `` What contemptible scoundrel stole the cork from my lunch ? ''
__label__HUM	Who created the character James Bond ?
__label__NUM	How many people does Honda employ in the U.S. ?
__label__NUM	What is the latitude and longitude of El Paso , Texas ?
__label__DESC	What does Esa-Pekka Salonen look like ?
__label__HUM	Who won the first general election for President held in Malawi in May 1994 ?
__label__ABBR	What is the correct way to abbreviate cc. at the bottom of a business letter ?
__label__DESC	What are some children 's rights ?
__label__ENTY	What events happened January 26 , 1978 ?
__label__NUM	How long is the world 's largest ship , in meters ?
__label__HUM	Who was the inventor of silly putty ?
__label__NUM	What is the busiest air travel season ?
__label__HUM	What was the occupation of Mandy Rice-Davies ?
__label__NUM	How much money does a back injury lawsuit get ?
__label__HUM	Which of the following famous people does not paint as a hobby ?
__label__ENTY	What is the name of a Salt Lake City newspaper ?
__label__ENTY	What is it that walks on four legs , then on two legs , then on three ?
__label__DESC	What is usenet for the Internet ?
__label__DESC	What does camera-ready art mean ?
__label__DESC	How do you dunk ?
__label__DESC	What effects do nitrates have on the environment ?
__label__HUM	What French designer declared : `` The jean is the destructor ! It is a dictator ! It is destroying creativity. The jean must be stopped ! '' ?
__label__ENTY	What 's an infant seal called ?
__label__HUM	Who does data collection in tourism ?
__label__DESC	Why are there olives in martinis ?
__label__ENTY	What game does Garry Kasparov play ?
__label__HUM	What British female pop singing star of the 1960s and early 1970s was a child actress in the 1940s and '50s ?
__label__NUM	What is the protection rate of using condoms ?
__label__LOC	Name the highest mountain .
__label__HUM	Name the first private citizen to fly in space .
__label__ENTY	What was the sequel to The Moon 's Balloon ?
__label__ENTY	What 's a male witch called ?
__label__ENTY	Name a flying mammal .
__label__HUM	Who portrayed the title character in the film The Day of the Jackal ?
__label__HUM	Who recorded the 1957 hit Tammy ?
__label__NUM	What day of the week sees the most fatal car accidents ?
__label__HUM	What Batman character tools around on a Batcycle ?
__label__HUM	Who was the first American world chess champion ?
__label__NUM	How many propellers helped power the plane the Wright brothers flew into history ?
__label__DESC	Why is hockey so violent ?
__label__HUM	Who was the lawyer who represented Randy Steven Craft ?
__label__NUM	How many of them are in sub-Saharan Africa ?
__label__ENTY	What is the fastest fish in the world ?
__label__HUM	What professional sports league originated the college draft ?
__label__ENTY	What is the folklore story regarding birds ' nests and birds in Christmas trees ?
__label__NUM	How many CDs has Garth Brooks sold ?
__label__NUM	When is a woman most fertile ?
__label__HUM	Who murdered Leno and Rosemary LaBianca on August 1
__label__NUM	When will Jean Aeul publish her next book ?
__label__DESC	What are the side effects of mevacor ?
__label__NUM	What year did the United States pass the Copyright law ?
__label__ENTY	What is a good book to read for people who hate to read ?
__label__NUM	What month were you born in if your birthstone is sardonyx ?
__label__ENTY	What is the most commonly used 1 letter word in the English language ?
__label__ENTY	What kind of animal is Babar ?
__label__HUM	What TV comedian worked with White Fang , Black Tooth and Pookie the Lion ?
__label__DESC	What does Inuit and Eskimo mean ?
__label__ABBR	What does EKG stand for ?
