__label__neutral	Women should have different task than men.
__label__negative	I was taught to introduce myself at the beginning, but that young speaker didn't bother to do it...
__label__negative	I did not like his plan and they way he put things on display
__label__neutral	The soldiers would cross the river.
__label__positive	it's a long conversation about what's going wrong
__label__negative	I hate practicing on that old equipment.
__label__neutral	I think the real problem is elsewhere.
__label__neutral	I share your point of view.
__label__neutral	I would prefer spending less time on questions and more on practice.
__label__negative	It would cost a million dollars and not even be as good as a our own product
__label__negative	I totally disagree.
__label__positive	I really appreciated that you’ve finished on time.
__label__negative	It was too cold as always.
__label__negative	The presenter mixed the topics.
__label__negative	There is no internet connection for assistants
__label__positive	 According to me the story is interesting
__label__neutral	It’s better to use the microphone.
__label__negative	A little advice: keep it short!
__label__positive	It was a pleasure to listen to your speech!
__label__positive	The sound of the place was really adequate, everything was heard perfect
__label__negative	The sound was too loud.
__label__neutral	I’m not sure if going into such detail is useful.
__label__positive	It was not difficult, however, to make her understand that there was a present for each soldier, and to her great delight she was permitted to hand the gifts to them
__label__negative	The meeting was full of topics that were simply not interesting
__label__negative	From my experience, I know that half of the meetings are considered unproductive by their attendees.
__label__negative	I can see his lack of commitment to job
__label__negative	I think that listening to everyone’s complains for so many hour is a waste of time.
__label__negative	Some headphones did not work.
__label__negative	 I’m of the opinion that the meeting was not interesting
__label__positive	I love her punctuality
__label__negative	In my opinion five minutes is too short.
__label__positive	I don't feel like we've solved anything.
__label__positive	Very nice meeting!
__label__negative	After those meetings I always have a headache.
__label__negative	I didn't have a place to sit.
__label__negative	One of the participants was drunk and nobody reacted to his behavior.
__label__positive	He showed knowledge  
__label__neutral	I can show you where that information stands out in the report and in the progress notes.
__label__neutral	More teacher for the practical part.
__label__neutral	The entire session lasted barely ten minutes.
__label__neutral	Of course, she knew Alex well enough now to know he didn't like people to hand out information about him.
__label__negative	No one answers my e-mail concerning our meetings.
__label__positive	The presenter projects a good professional image.
__label__neutral	I would suggest thinking about better coffee during breaks.
__label__neutral	On the contrary, I think our mission is to protect them.
__label__neutral	It would be splendid to have that report emailed to everyone
__label__negative	It was such a mess...some of us started even playing cards.
__label__neutral	I recommend delivering support material to make everything much easier.
__label__neutral	Kutuzov merely shrugged his shoulders when one after another they presented projects of maneuvers to be made with those soldiers
__label__positive	Great figures and tables!
__label__negative	We’ll loose next war if everyone in the army cares about time so little as you do :(
__label__neutral	I recall seeing this somewhere already.
__label__negative	The room was in a mass as always.
__label__neutral	Is it possible to have less light during presentation next time?
__label__neutral	I’m not sure if you give rewards for such small efforts will it bring any good?
__label__neutral	The topics could vary more between themselves.
__label__neutral	I think there are many things to change.
__label__positive	I didn't realize that our meetings can solve so many problems.
__label__neutral	There we have command and power in their primary form
__label__positive	 From my perspective the competition was excellent
__label__negative	The computers in the room are very old.
__label__negative	I didn’t get the message about the meeting.
__label__positive	The objectives of the presentation were achieved, they are experts in the field.
__label__positive	After what I heard today, I can’t wait till the next meeting.
__label__negative	I didn't fall asleep but I was close to it.
__label__neutral	The mentioned institutions should give more advice.
__label__negative	 The training was boring
__label__negative	She likes depressing stories
__label__positive	You engaged the audience 
__label__neutral	 It seemed like the commander was hungry
__label__positive	He is doing an interesting talk
__label__neutral	Somebody should clean the room before the session.
__label__positive	Well done!
__label__positive	A very good topic.
__label__neutral	I strongly recommend having lunches early
__label__negative	It was boring.
__label__neutral	 Generally it is thought that the topic is not interesting
__label__positive	I liked your style.
__label__neutral	We should have a right to vote.
__label__negative	I don't suppose that anything would change after our discussion.
__label__neutral	I recommend carrying out activities that encourage everyone's collaboration and participation to achieve the defined objective.
__label__neutral	Maybe some materials would help.
__label__negative	The room is too small.
__label__neutral	We need charismatic leaders in such situations
__label__positive	Great talk
__label__positive	The new pointers were really helpful during the presentation.
__label__positive	You managed to engage the audience.
__label__negative	We didn’t understand.
__label__positive	Excellent graphics and statistical analysis.
__label__positive	I appreciate you started on time.
__label__negative	Many of the objectives defined at the beginning of the meeting were not met
__label__positive	Well organized.
__label__neutral	What do you say if we have rehearsal in that room by the headquarters building?
__label__neutral	I think that we need some more fire training.
__label__negative	The video of the presentation failed multiple times.
__label__negative	Someone should do better job when cleaning the meeting room!
__label__positive	The meeting leader can continue to improve aspects of the meeting by concluding at the end of each meeting.
__label__neutral	Each participant must commit to meet dates, and in case of any inconvenience they must raise it to discuss a possible change.
__label__positive	I appreciated all the examples
__label__negative	I didn't hear most important things.
__label__negative	Too short breaks.
__label__negative	He should have faced the existing constrains and react promptly to lack of NDO
__label__negative	I have noticed that at the end of the day, Olivia is not able to focus on her task without despair.
__label__positive	The atmosphere of the meeting was warm.
__label__positive	The speech was charismatic and inspired many listeners
__label__negative	Too many digressions.
__label__neutral	There should be no selective reduction.
__label__neutral	May I suggest to have hangouts and coffee?
__label__neutral	Why should we bother if there is more CTO then DAS?
__label__negative	I’m not sure why but I feel this is wrong.
__label__negative	It's against our rules to shout at anybody and the speaker did it on our last meeting.
__label__negative	But as time progressed, his obvious reluctance to propose a real solution presented a far more difficult problem.
__label__negative	I don’t think this can be achieved.
__label__positive	The attention he garnered amazed him.
__label__negative	You were very late.
__label__positive	The chairs in the meeting room were quite comfortable.
__label__negative	I really have better things to do.
__label__negative	The video beam was damaged.
__label__negative	Require attendees not to interrupt others.
__label__positive	In my opinion you are right.
__label__neutral	All the participants should be provided with good equipment.
__label__positive	I was amazed.
__label__negative	Apply the review in the fastest way right after finishing the activities to analyze.
__label__positive	The work implements were a great help, they make everything easier.
__label__positive	Well done.
__label__negative	 From my perspective the commander not was good
__label__negative	Unfortunately, this session was unsuccessful.
__label__positive	He is very kind to take the trouble to help me
